artist,dur_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_num
Frank Klepacki,286440,7,0.727,0.708,5,-4.589,0,0.0427,0.00166,8.39e-4,0.594,0.714,134.988,4
Frank Klepacki,190008,24,0.577,0.313,5,-20.787,0,0.0378,0.269,0.815,0.11,0.046,140.011,4
Frank Klepacki,212306,20,0.323,0.841,11,-8.391,1,0.0474,3.07e-5,0.708,0.169,0.523,125.969,4
Frank Klepacki,201411,28,0.712,0.556,6,-13.787,0,0.0363,0.119,0.755,0.35,0.637,140.054,4
Frank Klepacki,199841,23,0.536,0.776,10,-14.97,0,0.0567,0.251,0.922,0.0805,0.19,172.029,4
Frank Klepacki,277040,25,0.564,0.636,11,-11.809,0,0.0332,2e-4,0.851,0.0828,0.168,99.998,4
Frank Klepacki,141040,14,0.387,0.624,10,-6.929,1,0.0342,3.01e-6,0.876,0.105,0.338,189.951,4
Frank Klepacki,261813,7,0.621,0.667,5,-7.132,0,0.0282,0.00124,0.051,0.115,0.338,132.036,4
Frank Klepacki,226546,5,0.627,0.622,1,-10.243,1,0.0386,0.00201,0.803,0.0618,0.556,90.017,4
Frank Klepacki,384200,39,0.575,0.81,2,-9.06,1,0.0499,0.00332,0.866,0.848,0.0674,121.437,4
Frank Klepacki,235480,8,0.558,0.386,5,-10.898,0,0.0328,0.733,0.641,0.253,0.0372,120.012,4
Frank Klepacki,283920,4,0.696,0.969,10,-8.38,0,0.045,3.02e-4,0.857,0.0904,0.713,104.989,4
Frank Klepacki,202733,9,0.623,0.666,1,-14.098,1,0.0597,0.00755,0.896,0.105,0.409,170.012,4
Frank Klepacki,313000,20,0.513,0.495,10,-14.351,1,0.0645,0.371,0.917,0.099,0.0563,180.031,4
Frank Klepacki,201680,8,0.722,0.844,7,-7.983,1,0.0433,3.94e-4,9.14e-4,0.142,0.923,125.001,4
Frank Klepacki,313400,4,0.392,0.326,4,-8.783,0,0.0319,0.829,0.894,0.151,0.0793,115.073,4
Frank Klepacki,109373,16,0.651,0.8,10,-15.093,0,0.0484,0.00699,0.683,0.165,0.151,130.035,4
Frank Klepacki,258306,18,0.729,0.542,1,-13.172,1,0.05,3.41e-4,0.827,0.106,0.65,113.025,4
Frank Klepacki,201400,27,0.611,0.754,11,-11.593,1,0.0378,0.0811,0.00118,0.107,0.131,119.921,4
Frank Klepacki,243040,5,0.157,0.222,0,-11.885,0,0.0377,0.719,0.693,0.099,0.0338,78.435,4
Frank Klepacki,229466,26,0.628,0.923,1,-9.181,1,0.038,4.19e-5,0.827,0.0802,0.721,120.021,4
Frank Klepacki,214880,4,0.751,0.796,5,-5.741,0,0.0771,1.21e-5,0.882,0.0888,0.683,100.011,4
Frank Klepacki,209693,4,0.71,0.864,10,-6.6,0,0.0478,3.35e-5,0.0909,0.0842,0.423,95.005,4
Frank Klepacki,147000,37,0.554,0.828,2,-10.763,1,0.0319,9.95e-4,0.7,0.287,0.888,135.018,4
Frank Klepacki,175586,13,0.491,0.832,6,-9.266,0,0.0359,3.92e-5,0.787,0.0698,0.412,174.099,4
David Bowie,280373,45,0.385,0.868,11,-5.688,0,0.0921,0.0219,0.0135,0.632,0.355,170.134,3
David Bowie,99960,23,0.303,0.321,7,-17.292,0,0.0574,0.388,0.00201,0.136,0.261,94.475,3
David Bowie,346466,35,0.683,0.887,7,-6.292,0,0.0354,0.0156,3.24e-4,0.971,0.7,122.034,3
David Bowie,346106,32,0.57,0.626,7,-5.673,0,0.0245,0.0226,2.62e-4,0.373,0.36,81.501,3
David Bowie,322226,24,0.414,0.762,2,-8.349,1,0.0574,0.0718,0.0144,0.977,0.353,181.9,3
David Bowie,148400,25,0.3,0.866,7,-7.051,1,0.0822,0.21,0,0.794,0.799,157.215,3
David Bowie,294866,25,0.601,0.765,8,-8.473,1,0.0457,0.315,0.00289,0.264,0.675,134.023,3
David Bowie,258053,31,0.526,0.925,3,-4.528,0,0.0331,0.00784,0.356,0.941,0.603,138.025,3
David Bowie,431533,22,0.11,0.11,5,-22.763,1,0.0347,0.647,0.928,0.11,0.0395,87.766,3
David Bowie,327013,16,0.428,0.802,1,-10.373,1,0.052,0.102,0.596,0.153,0.353,140.018,3
David Bowie,193706,27,0.428,0.769,0,-7.412,1,0.0327,0.0265,0.0026,0.985,0.553,203.767,3
David Bowie,262160,24,0.581,0.82,2,-6.249,1,0.0469,0.0216,2.02e-5,0.268,0.651,87.973,3
David Bowie,390986,21,0.434,0.6,9,-11.904,1,0.563,0.16,1.1e-6,0.777,0.532,150.162,3
David Bowie,441693,25,0.456,0.96,2,-6.523,1,0.0642,0.00415,0.214,0.962,0.636,126.587,3
David Bowie,271106,36,0.557,0.883,5,-9.326,0,0.042,0.0107,0.0047,0.0913,0.638,139.962,3
David Bowie,111493,22,0.341,0.183,7,-14.289,1,0.0381,0.905,0.976,0.126,0.0392,129.293,3
David Bowie,474453,36,0.759,0.821,2,-10.022,1,0.0645,0.024,0.461,0.0791,0.452,108.788,3
David Bowie,601373,11,0.67,0.698,0,-11.677,1,0.0394,0.0126,0.392,0.119,0.722,109.965,3
David Bowie,476400,27,0.383,0.773,1,-7.487,1,0.0582,0.0666,0.0417,0.714,0.164,100.372,3
David Bowie,436213,16,0.648,0.5,2,-9.707,1,0.0489,1.05e-4,0.758,0.318,0.42,139.998,3
David Bowie,241466,21,0.617,0.929,0,-8.44,1,0.0583,0.0108,6.11e-5,0.0975,0.409,130.646,3
David Bowie,209040,16,0.532,0.666,4,-5.421,0,0.0496,0.00843,0.766,0.079,0.704,92.987,3
David Bowie,301533,32,0.624,0.72,7,-6.69,1,0.0293,0.0476,0.0121,0.262,0.357,90.813,3
David Bowie,523266,26,0.375,0.87,2,-7.654,1,0.251,0.0402,0.00522,0.98,0.657,140.203,3
David Bowie,179666,13,0.59,0.283,7,-13.738,1,0.0433,0.707,0,0.151,0.519,125.623,3
David Bowie,297414,24,0.375,0.616,0,-7.4,1,0.0456,0.127,0,0.724,0.293,121.946,3
David Bowie,315427,29,0.306,0.7,0,-8.656,1,0.039,0.00731,0.00279,0.501,0.224,128.478,3
David Bowie,280253,36,0.366,0.553,5,-6.043,1,0.0291,0.527,5.18e-5,0.96,0.163,108.86,3
David Bowie,328413,35,0.425,0.938,7,-8.419,1,0.131,8.06e-4,0.0102,0.966,0.191,149.961,3
David Bowie,231120,26,0.454,0.968,9,-4.801,1,0.0718,0.307,0.0258,0.964,0.702,135.373,3
David Bowie,388133,35,0.712,0.797,0,-6.943,1,0.0328,0.00275,0.0638,0.112,0.888,120.491,3
David Bowie,250893,30,0.483,0.914,8,-5.314,1,0.0548,0.00225,0.252,0.32,0.746,168.54,3
David Bowie,242133,30,0.58,0.819,4,-5.308,0,0.0319,1.4e-4,0.029,0.282,0.319,120.856,3
David Bowie,85066,25,0.217,0.302,11,-21.69,1,0.0409,0.462,0.968,0.646,0.151,107.472,3
David Bowie,597933,53,0.366,0.552,6,-8.35,1,0.0317,0.206,0.0595,0.178,0.114,97.98,3
David Bowie,276533,27,0.612,0.879,5,-7.196,1,0.0374,3.63e-4,0.00347,0.0808,0.624,110.098,3
